Row,subj01,subj02,subj03,subj04,subj05,subj06,subj07,subj08,subj09,subj10,subj11,subj12,subj13,subj14,subj15,subj16,subj17,subj18,subj19,subj20,subj21,subj22,subj23,subj24
alien,-0.969138615868867,-0.0762974825398873,-0.409844584805821,-0.354240851143294,1.00186089047287,0.602125736413598,-0.209302449489498,-0.30553002380294,-1.21409943884913,0.53224468618451,0.0626154840416507,0.87555298994025,0.551261771861444,0.833931815828171,0.480122055748507,0.223424870576675,-0.228583621828255,0.907228244385805,-0.485276069916977,0.0543987755077701,0.798778387663966,0.497959746229395,0.658996271903882,0.133677843587917
angel,2.25273178263135,1.58837486378493,1.57605965336845,1.62950791525915,1.68919684716392,1.58482352581264,1.5874203849836,1.97941673540708,1.17738174790105,1.62187947679847,1.4479138035472,2.12455868172377,2.59297203801494,1.30168203303949,2.24368882723852,1.40182608669838,1.57171697968306,1.67606573962801,2.14711770557606,2.16593019324358,0.874804249434014,2.02732014619682,2.20593587731206,2.13506928713583
banshee,-1.09801343180888,-1.39416309004703,-1.10059388504035,-1.2044188938872,-1.00516010306499,-0.335903971649129,-0.492995528616829,-0.92572985844566,1.15322537227731,-1.01838943891997,-0.519209810150679,-0.685704124789154,-1.49044849429205,-0.903426133813852,-1.175471239936,-0.954976345545028,-1.10145664074283,-0.776891983287602,-1.17198748961081,-1.05504993550596,0.798778387663966,-1.03140065373803,-0.733249372963475,-0.697088415998008
bigfoot,0.276651271551219,0.270509256277782,-0.985469001667928,0.0708481702286589,-0.372811022909224,0.423453411068317,0.704819694365237,-0.0117511547616515,-1.16578668760165,0.699880807817426,0.0626154840416507,0.251050144048488,1.16377485170749,0.800521086027363,0.480122055748507,0.223424870576675,1.08072590654361,-0.850114601882098,0.277736618631729,-0.589797250242137,-1.27926183405067,0.497959746229395,-0.42386145188184,0.398012562547075
centaur,0.319609543531222,1.10284542944019,0.108217390370076,1.2044188938872,0.589459316458243,0.691461899086238,1.11459858643805,0.216743521159351,1.17738174790105,0.53224468618451,0.450499013503204,0.251050144048488,1.24544326235363,1.23486057343787,0.480122055748507,0.199856846254241,0.480625706039838,0.724171697899565,0.926297403898128,0.555440128868809,0.900146203357363,0.497959746229395,-0.42386145188184,-0.583802107872654
chimera,0.276651271551219,-0.353742873594023,1.08677889903566,-1.2044188938872,1.02935432874051,-0.871920947684973,-0.177780996253128,-0.697235182524658,0.887505240416179,-0.0125727091224686,0.589028845453758,-0.966730405440447,-0.224588129276884,1.26827130323868,0.480122055748507,-0.954976345545028,-0.774129258649865,-0.593835436801362,-0.714179876481588,-0.876106595019874,-1.27926183405067,0.497959746229395,-0.578555412422657,-0.77261262141491
cyclops,0.0618599116512041,-0.284381525830489,-0.697656793236875,0.212544510685977,-0.730225720388569,-1.05059327303025,-0.65060279479868,-0.762519375644944,-1.18994306322539,0.0712453516939896,-0.796269474051788,-0.966730405440447,-0.510427566538374,-0.40226518680173,-0.311683433491909,-0.954976345545028,-0.774129258649865,-0.667058055395858,-0.332673532207235,-0.768740590728222,-1.20323597228062,-1.03140065373803,-0.887943333504292,-0.621564210581105
demon,-1.65647096754891,-1.49820511169233,-1.01425022251103,-1.2044188938872,-1.03265354133263,-0.827252866348652,-1.34407476599882,-1.15422453436666,-1.16578668760165,-1.0602984693282,-1.18415300351334,-0.997955547735035,-1.49044849429205,-1.47140854042759,-1.28344471574151,-0.954976345545028,-1.12873392258391,-0.886725911179346,-1.05753558632851,-0.661374586436571,-1.27926183405067,-1.03140065373803,-0.887943333504292,-1.45233047016703
devil,-1.69942923952892,-1.35948241616526,-1.10059388504035,-1.2044188938872,-1.06014697960027,-1.5866102490661,-1.40711767247156,-1.18686663092681,-1.18994306322539,-0.515481074021218,-1.3226828354639,-0.997955547735035,-1.49044849429205,-1.07047978281789,-1.28344471574151,-0.931408321222594,-1.10145664074283,-0.923337220476594,-1.43904193060286,-1.3413592802837,-1.25391988012732,-1.03140065373803,-0.887943333504292,-1.49009257287548
dragon,0.405526087491228,0.339870604041316,0.453592040487341,-0.354240851143294,-1.00516010306499,-0.559244378330731,-1.28103185952608,-0.893087761885517,-0.0304370332859114,-0.138299800347156,-0.685445608491345,-0.997955547735035,0.551261771861444,0.533235247620898,0.480122055748507,0.223424870576675,-0.337692749192577,0.284835986332589,-0.9430836830462,0.412285456479941,0.798778387663966,-0.266720453754319,-0.887943333504292,-0.0173705672458875
