Row,subj01,subj02,subj03,subj04,subj05,subj06,subj07,subj08,subj09,subj10,subj11,subj12,subj13,subj14,subj15,subj16,subj17,subj18,subj19,subj20,subj21,subj22,subj23,subj24,subj25
aerobics,-1.14216959869413,-0.402385349075428,-1.6305074948865,-1.64767066572674,-1.31583958914086,-0.592468282373915,-0.681325000785668,-1.05970438035857,0.857486549121191,-0.782877110628073,-0.0823862459689031,-1.09652971439978,-1.64535454874113,-1.0606729800213,-0.923887906069036,-0.771478523325917,-0.742840355474775,-0.0942489021280828,0.0818557342811703,-1.12767206623589,-0.849219744023286,-1.62267433803072,-1.01755288743887,-0.577441810293877,-0.222052698715458
archery,0.137014869728863,-0.247621753277186,0.854533426523603,-0.23398873359433,0.0622701434736944,-0.711437816987151,-0.911761866891306,-0.951718200294854,-1.07135059767865,0.497143481643565,0.423494211734887,0.483763109294021,-0.365255055425935,-0.836073090127958,-0.655315840351293,-1.6492085798045,-0.0554966406763197,-1.56479914809817,-1.36036434591088,0.281079473975513,-0.598342419348755,1.06931995547647,-0.800590651311182,0.028266382322078,-1.51829941710519
badminton,-1.14216959869413,-1.2793790585988,-0.508230949733551,-1.20894179023737,-2.132497208468,-1.90113316311951,-0.796543433838487,-1.05970438035857,-1.10518984586812,-0.782877110628073,-2.97313171856199,-1.09652971439978,-1.64535454874113,-1.0606729800213,-1.05817393892791,-0.540496929515762,-0.742840355474775,-1.76532872709409,-1.51628003025596,-1.49663080295792,-1.69593071479983,-1.0992310031821,-1.01755288743887,-0.644742720584538,-1.29286520521132
baseball,-0.943185348050557,0.268256899383619,0.854533426523603,0.0584971833985828,0.521640054345211,0.656711831065062,0.125204030584063,-0.267805726558007,-0.191530144752405,-1.11320500540785,0.640300122179369,-0.387010487435217,-0.450595021646948,-0.892223062601293,0.418972422519679,0.0600552143906401,-0.742840355474775,-0.127670498627403,-0.42487023984036,-0.523921406145288,0.0602105579218874,0.545876620627846,-0.00506245217631282,0.633974574938033,-0.278411251688924
basketball,-0.886332705009535,0.216669034117538,0.854533426523603,-0.818960567580157,-0.499181969813715,0.00237939069226467,0.240422463636882,-0.807736626876571,-0.935993604920763,0.249397560558732,0.495762848549715,-0.741770100917499,-0.450595021646948,-0.218423392921273,0.418972422519679,1.21496318344141,-0.742840355474775,-0.361621674122644,-0.0740599500639158,-0.557463109483655,-0.598342419348755,-0.0523443334848619,1.00742798308625,-0.779344541165862,-0.222052698715458
boxing,1.21721508750828,1.50636566576955,0.934696036891671,1.13094554570593,1.49142097729619,1.84640717719742,2.50638498034232,1.53196394117054,1.7711462502369,1.90103703445762,1.21844921669799,1.5802928236938,1.08552437033128,1.60645071246211,1.62754671824952,1.63073005229969,1.80287710674173,1.40972294034132,1.25122336686932,1.72337271752528,1.40867617804749,1.77970733848531,2.0922391637247,2.85490461452987,2.42679929103747
canoeing,-1.02846431261209,-0.144446022745025,-0.989206611941958,-1.06269883174092,-0.0908531601501445,-1.42525502466657,-0.642918856434729,-0.627759660103716,0.857486549121191,-1.31965993964521,-0.15465488278373,-0.999777092540976,-0.535934987867961,-0.836073090127958,-0.789601873210164,-0.586693248277793,1.06461904269894,0.373653448862399,-1.08751189830698,0.31462117731388,-1.41369372454098,-0.0523443334848619,-0.475147297119644,-0.173636348549907,0.397891383992674
cheerleading,-0.971611669571068,-0.0928581574789448,0.934696036891671,-0.331484039258635,-0.397099767397822,0.180833692612118,1.46941908286695,-0.807736626876571,-1.07135059767865,0.538434468491037,-2.53951989767303,0.354759613482282,-0.706614920309987,0.595751207942084,-0.923887906069036,0.799196314583135,-0.742840355474775,0.77471260685424,1.44611797230067,-1.16121376957426,0.154289554674836,-0.463621239437349,-0.800590651311182,-0.846645451456523,0.397891383992674
curling,-1.17059592021465,-2.20796063338825,-0.0272552875251433,-1.01395117890877,-2.08145610726005,-1.78216362850627,-0.988574155593185,-0.411787299976291,-1.07135059767865,-1.89773375550982,-0.0101176091540759,0.516013983246955,-2.24273431228822,-1.0606729800213,-1.05817393892791,-0.632889567039824,-0.742840355474775,-1.19716158660565,-1.75015355677359,-1.32892228626609,0.530605541686632,-0.65056528759757,-0.945232142062976,0.028266382322078,-1.34922375818479
cycling,-1.08531695565311,0.474608360447941,0.854533426523603,0.643469017384409,0.0622701434736944,0.00237939069226467,0.43245318539158,0.84805146743369,-0.496083378457642,0.414561507948621,-0.877341250932003,0.419261361388151,-0.706614920309987,0.87650107030876,0.553258455378551,-0.0785337418954527,-0.742840355474775,-0.0942489021280828,0.0428768131948987,-0.758713329513855,0.0602105579218874,-0.0523443334848619,0.465022392767019,0.230169113194063,-0.67292112250319
dancing,-0.232527310037781,-1.33096692386488,-1.14953183267809,-1.40393240156598,-0.192935362566037,-0.473498747760679,-0.297263557276272,-1.05970438035857,-1.07135059767865,-0.906750071170489,-1.60002761908027,-0.129003495811739,-0.450595021646948,-1.0606729800213,-0.38674377463355,0.0138588956286092,-0.742840355474775,0.306810255863759,0.432666024057614,-1.53017250629629,-0.849219744023286,-0.538398858701437,-0.945232142062976,-0.7120436308752,-0.954713887370523
diving,1.38777301663135,0.526196225714021,0.854533426523603,0.545973711720105,0.317475649513426,-0.889892118907004,1.27738836111225,1.2080054009794,1.22971827920537,0.621016442185982,0.929374669438678,0.838522722776303,1.42688423521534,0.427301290522079,1.62754671824952,0.198644170676733,-0.386439910764465,-0.0942489021280828,0.627560629488972,1.22024716744978,1.09507952220433,0.807598288052156,1.18822984652599,-0.173636348549907,0.736042701833473
fencing,-0.971611669571068,0.474608360447941,-1.22969444304616,1.03345024004163,1.18517437004851,-0.0571053766143533,-0.52770042338191,-0.843732020231142,0.755968804552778,0.827471376423343,0.35122557492006,1.06427884044685,0.402804640563181,-1.0606729800213,-1.05817393892791,1.12257054591735,-0.742840355474775,0.64102622085696,-1.86709032003241,0.281079473975513,-0.598342419348755,-0.38884362017326,-1.12603400550272,-0.846645451456523,-0.0529770397950584
fishing,-1.02846431261209,-1.5373183849292,-0.668556170469686,-0.721465261915852,-1.11167518430907,-1.84164839581289,-0.758137289487548,-0.987713593649425,-1.07135059767865,-1.60869684757752,-1.60002761908027,-1.22553321021152,-0.706614920309987,-1.0606729800213,-1.05817393892791,-2.06497544866278,-0.742840355474775,-0.996632007609726,-1.82811139894613,0.180454363960413,-1.57049205246256,-0.874898145389835,-1.05371326012682,-0.0390345279685836,-1.51829941710519
football,1.50147830271339,1.14525060890699,0.934696036891671,-0.526474650587244,1.59350317971208,2.02486147911727,2.1991358255348,1.67594551458882,1.16203978282643,1.36425420544048,0.857106032623851,1.03202796649391,1.1708643365523,1.52222575375211,1.35897465253178,1.16876686467938,1.80287710674173,1.27603655434404,1.09530768252423,1.42149738747998,1.44003584363181,1.63015209995713,0.826626119646504,2.18189551162325,1.525062443462
golf,-0.886332705009535,-1.74366984599352,-1.71067010525457,-0.623969956251548,-2.0304150060521,-1.30628549005333,-0.796543433838487,-1.09569977371314,-1.07135059767865,-1.89773375550982,-1.6722962558951,-1.16103146230565,-1.4746746162991,-1.0606729800213,-1.05817393892791,-1.46442330475638,-0.742840355474775,-1.76532872709409,-0.892617292875618,-1.29538058292772,-1.69593071479983,-1.58528552839868,-0.945232142062976,-1.04854818232851,-1.80009218197252
